continent,country
africa,africa_do_sul
africa,angola
africa,cabo_verde
africa,egito
africa,gana
africa,marrocos
africa,mocambique
africa,nigeria
africa,outros_paises_da_africa
africa,quenia
africa,tunisia
america_central_e_caribe,costa_rica
america_central_e_caribe,cuba
america_central_e_caribe,el_salvador
america_central_e_caribe,guatemala
america_central_e_caribe,haiti
america_central_e_caribe,honduras
america_central_e_caribe,nicaragua
america_central_e_caribe,outros_paises_da_america_central_e_caribe
america_central_e_caribe,panama
america_central_e_caribe,porto_rico
america_central_e_caribe,republica_dominicana
america_central_e_caribe,trinidad_e_tobago
america_do_norte,canada
america_do_norte,estados_unidos
america_do_norte,mexico
america_do_sul,argentina
america_do_sul,bolivia
america_do_sul,chile
america_do_sul,colombia
america_do_sul,equador
america_do_sul,guiana
america_do_sul,guiana_francesa
america_do_sul,paraguai
america_do_sul,peru
america_do_sul,suriname
america_do_sul,uruguai
america_do_sul,venezuela
asia,arabia_saudita
asia,bangladesh
asia,china
asia,"china,_hong_kong"
asia,cingapura
asia,filipinas
asia,india
asia,indonesia
asia,ira
asia,iraque
asia,israel
asia,japao
asia,libano
asia,malasia
asia,outros_paises_da_asia
asia,paquistao
asia,republica_da_coreia
asia,siria
asia,tailandia
asia,taiwan
europa,alemanha
europa,austria
europa,belgica
europa,bulgaria
europa,croacia
europa,dinamarca
europa,eslovaquia
europa,eslovenia
europa,espanha
europa,estonia
europa,finlandia
europa,franca
europa,grecia
europa,holanda
europa,hungria
europa,irlanda
europa,italia
europa,letonia
europa,lituania
europa,luxemburgo
europa,noruega
europa,outros_paises_da_europa
europa,polonia
europa,portugal
europa,reino_unido
europa,republica_tcheca
europa,romenia
europa,russia
europa,servia
europa,suecia
europa,suica
europa,turquia
europa,ucrania
oceania,australia
oceania,nova_zelandia
oceania,outros_paises_da_oceania
